cve_id,cwe_ids,cwe_descriptions,repo_url,parents,filenames,repo_size
CVE-2010-10006,CWE-208,Two separate operations in a product require different amounts of time to complete; in a way that is observable to an actor and reveals security-relevant information about the state of the product; such as whether a particular operation was successful or not.,https://github.com/michaelliao/jopenid,['84a872934493f424f56a3dca86a965a9854f39c9'],OpenIdManager.java,612000
CVE-2010-5327,CWE-264,Weaknesses in this category are related to the management of permissions; privileges; and other security features that are used to perform access control.,https://github.com/liferay/liferay-portal,['b2a65f0907d06fa340216212469b61fca5b38320'],HotDeployImpl.java;FreeMarkerManager.java;FreeMarkerTemplateContextHelper.java;LiferayObjectConstructor.java;LiferayTemplateClassResolver.java;PACLFreeMarkerTemplate.java;TemplateContextHelper.java;PropsValues.java;LiferayMethodExceptionEventHandler.java;PACLVelocityTemplate.java;VelocityManager.java;VelocityTemplateContextHelper.java;TemplateManager.java;TemplateManagerUtil.java;PropsKeys.java,34802159000
CVE-2011-4344,CWE-79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,https://github.com/jenkinsci/winstone,['507e1a9faf90d8a3e267a2ce5de7c18b0b9dc2ea'],ErrorServlet.java;URIUtil.java;WinstoneResponse.java,1492000
CVE-2012-6119,CWE-264,Weaknesses in this category are related to the management of permissions; privileges; and other security features that are used to perform access control.,https://github.com/candlepin/candlepin,['9cd5d7020f813b4f12c672ed075c4d6c63e49a70'],Importer.java,90196000
CVE-2013-10008,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/sheilazpy/eShop,['cb3cbf15bcd6dc5229561759964faf5ed7b2579b'],databaseConnectWindow.java;MySQLdbManager.java;mainWindow.java;Md5hashcalc.java;operatorUserLoginWindow.java;operatorUserSettingsWindow.java,17072000
CVE-2013-10013,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/Bricco/authenticator-plugin,['18d246b6642ed7ce282f093dd3a1da0b485dff3b'],DBAuthenticator.java,10676000
CVE-2013-10019,CWE-89,The product constructs all or part of an SQL command using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs; the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.,https://github.com/OCLC-Research/oaicat,['24ca021f1c79418d1d428273db91560b33e5e4b4'],OAIHandler.java;AbstractCatalog.java;ExtendedJDBCOAICatalog.java;JDBCLimitedOAICatalog.java;JDBCOAICatalog.java;NewJDBCOAICatalog.java;GetRecord.java;Identify.java;ListIdentifiers.java;ListMetadataFormats.java;ListRecords.java;ListSets.java;ServerVerb.java,11766000
CVE-2013-2035,CWE-94,The product constructs all or part of a code segment using externally-influenced input from an upstream component; but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment.,https://github.com/fusesource/hawtjni,['357bb279b0c8c67b7d357c1363efe86870ad9a81'],Library.java,5655000
CVE-2013-4521,CWE-502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,https://github.com/nuxeo/richfaces,['f3c55583955791580729f7abe19f71090f7c9be6'],LookAheadObjectInputStream.java;ResourceBuilderImpl.java;SerializableResource.java;UserResource.java;MediaData.java;PaintData.java;Paint2DResource.java,33035000
CVE-2013-6372,CWE-255,Weaknesses in this category are related to the management of credentials.,https://github.com/jenkinsci/subversion-plugin,['b5cd30370ef40439c37b7350810d3469b9a17fc1'],SubversionSCM.java,2684000
CVE-2013-6447,CWE-200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,https://github.com/seam2/jboss-seam,['b1d14541be7f16f97cf388239cda8bc168d8372a'],ExecutionHandler.java;InterfaceGenerator.java;PollHandler.java;SubscriptionHandler.java;XML.java,256763000
CVE-2013-6448,CWE-264,Weaknesses in this category are related to the management of permissions; privileges; and other security features that are used to perform access control.,https://github.com/seam2/jboss-seam,['b1d14541be7f16f97cf388239cda8bc168d8372a'],ExecutionHandler.java;InterfaceGenerator.java;PollHandler.java;SubscriptionHandler.java;XML.java,256763000
